delta, theta, alpha, beta, gamma, peak_freq, centroid, label
0.006447, 0.190503, 0.071566, 0.116442, 0.335383, 6.000000, 45.568270,yes
0.044468, 0.144383, 0.079254, 0.149213, 0.204876, 6.000000, 46.912588,yes
0.024381, 0.161321, 0.099363, 0.183850, 0.287680, 6.000000, 40.989883,yes
0.063444, 0.085263, 0.075468, 0.172571, 0.315854, 54.000000, 46.536865,yes
0.012116, 0.126035, 0.062700, 0.165132, 0.347867, 6.000000, 43.485256,yes
0.018542, 0.193814, 0.048893, 0.200712, 0.333439, 6.000000, 40.172676,yes
0.041074, 0.142827, 0.100696, 0.130413, 0.300725, 6.000000, 40.792462,yes
0.030599, 0.101910, 0.056616, 0.231410, 0.245344, 6.000000, 47.148780,yes
0.014648, 0.124651, 0.087531, 0.179314, 0.258982, 6.000000, 47.234914,yes
0.017881, 0.113942, 0.071842, 0.151827, 0.305627, 6.000000, 46.945144,yes
0.016628, 0.144989, 0.078944, 0.130140, 0.301148, 6.000000, 46.303464,yes
0.038364, 0.112838, 0.088398, 0.166753, 0.362843, 6.000000, 41.302345,yes
0.013934, 0.147766, 0.040354, 0.103223, 0.273467, 6.000000, 50.582122,yes
0.015890, 0.202279, 0.043456, 0.201794, 0.261862, 6.000000, 41.481054,yes
0.032413, 0.150592, 0.082644, 0.133187, 0.258790, 6.000000, 45.442244,yes
0.040783, 0.173871, 0.039887, 0.126570, 0.324887, 6.000000, 43.455037,yes
0.021922, 0.133835, 0.062865, 0.131203, 0.309490, 6.000000, 47.698059,yes
0.045644, 0.201415, 0.052081, 0.213623, 0.240131, 6.000000, 39.955674,yes
0.049632, 0.123026, 0.064444, 0.129331, 0.244418, 6.000000, 44.343282,yes
0.021370, 0.136127, 0.074028, 0.108590, 0.273103, 6.000000, 52.412133,yes
0.023740, 0.236076, 0.062311, 0.122263, 0.254512, 6.000000, 41.735521,yes
0.041259, 0.127554, 0.070802, 0.157346, 0.259645, 6.000000, 47.853088,yes
0.025781, 0.202700, 0.071027, 0.178543, 0.316050, 6.000000, 39.082725,yes
0.065733, 0.225982, 0.033788, 0.121187, 0.235744, 6.000000, 40.792815,yes
0.041011, 0.088502, 0.031380, 0.153242, 0.337142, 6.000000, 48.319553,yes
0.025857, 0.116285, 0.077754, 0.092689, 0.348806, 6.000000, 47.430235,yes
0.044992, 0.099005, 0.060374, 0.148051, 0.284121, 6.000000, 47.401183,yes
0.051698, 0.132913, 0.070001, 0.168241, 0.255057, 6.000000, 46.155479,yes
0.011140, 0.162647, 0.074950, 0.134693, 0.288508, 6.000000, 43.407147,yes
0.028209, 0.125846, 0.065183, 0.111347, 0.249131, 6.000000, 53.110038,yes
0.022003, 0.261773, 0.072384, 0.101214, 0.213595, 6.000000, 42.322510,yes
0.018283, 0.183848, 0.052411, 0.175115, 0.247114, 6.000000, 41.952778,yes
0.009425, 0.093855, 0.084826, 0.170078, 0.286300, 6.000000, 49.606477,yes
0.097816, 0.165717, 0.040558, 0.164507, 0.263334, 6.000000, 41.289912,yes
0.040817, 0.075685, 0.050534, 0.161572, 0.359551, 6.000000, 47.295845,yes
0.102754, 0.156243, 0.049129, 0.097118, 0.248607, 6.000000, 45.083737,yes
0.039961, 0.142409, 0.111316, 0.157914, 0.261953, 6.000000, 45.848654,yes
0.032838, 0.112876, 0.086034, 0.119562, 0.272278, 6.000000, 50.449480,yes
0.012341, 0.175835, 0.086912, 0.118698, 0.230935, 6.000000, 46.938759,yes
0.017597, 0.061914, 0.065120, 0.230861, 0.292801, 26.000000, 46.993044,yes
0.075247, 0.193548, 0.023827, 0.165923, 0.274232, 6.000000, 41.103073,yes
0.060157, 0.153836, 0.046023, 0.155435, 0.310377, 6.000000, 45.173839,yes
0.032318, 0.126204, 0.077028, 0.154578, 0.222459, 6.000000, 44.186536,yes
0.025610, 0.115501, 0.093789, 0.180647, 0.291319, 6.000000, 46.318362,yes
0.026436, 0.127440, 0.063908, 0.142521, 0.221885, 6.000000, 49.333648,yes
0.033843, 0.117565, 0.059771, 0.144961, 0.296777, 6.000000, 47.564516,yes
0.025808, 0.180655, 0.042293, 0.136136, 0.348897, 6.000000, 45.002968,yes
0.031635, 0.120323, 0.056293, 0.146740, 0.251473, 6.000000, 47.528310,yes
0.076237, 0.146017, 0.085421, 0.180961, 0.255838, 6.000000, 38.702489,yes
0.059412, 0.200320, 0.051152, 0.114737, 0.218638, 6.000000, 42.754973,yes
0.014570, 0.091770, 0.109729, 0.185371, 0.288923, 6.000000, 47.752668,yes
0.018371, 0.147149, 0.035675, 0.153138, 0.220025, 6.000000, 48.702331,yes
0.007631, 0.173988, 0.056500, 0.156327, 0.271465, 6.000000, 44.704976,yes
0.037729, 0.185625, 0.050855, 0.153058, 0.322068, 6.000000, 42.988888,yes
0.039895, 0.086212, 0.045255, 0.192633, 0.297601, 6.000000, 46.552191,yes
0.026254, 0.157881, 0.055765, 0.168536, 0.264325, 6.000000, 45.473462,yes
0.029067, 0.095885, 0.059455, 0.122917, 0.250981, 74.000000, 49.557871,yes
0.020503, 0.229288, 0.051892, 0.087128, 0.242982, 6.000000, 47.758999,yes
0.033550, 0.122021, 0.076923, 0.211595, 0.239923, 6.000000, 45.896396,yes
0.018044, 0.155836, 0.091130, 0.140903, 0.236910, 6.000000, 45.150907,yes
0.056277, 0.155793, 0.037467, 0.132320, 0.283252, 6.000000, 45.492610,yes
0.038556, 0.164704, 0.081339, 0.176030, 0.290057, 6.000000, 38.537099,yes
0.023779, 0.150135, 0.071555, 0.160623, 0.249858, 6.000000, 42.344059,yes
0.047061, 0.102799, 0.082447, 0.089740, 0.295179, 6.000000, 50.017056,yes
0.027635, 0.254356, 0.044660, 0.131075, 0.310852, 6.000000, 38.727401,yes
0.042131, 0.106908, 0.104017, 0.218858, 0.171402, 6.000000, 44.606416,yes
0.047725, 0.167736, 0.109743, 0.108343, 0.266206, 6.000000, 42.166883,yes
0.039978, 0.121171, 0.053436, 0.180428, 0.226737, 6.000000, 44.836895,yes
0.029728, 0.124233, 0.077853, 0.197451, 0.275262, 6.000000, 46.845216,yes
0.020411, 0.176791, 0.060075, 0.175237, 0.275631, 6.000000, 40.879137,yes
0.084235, 0.146299, 0.076235, 0.162682, 0.271668, 6.000000, 43.363181,yes
0.038903, 0.122112, 0.054199, 0.105392, 0.258436, 6.000000, 50.263769,yes
0.032039, 0.174622, 0.032555, 0.109699, 0.303292, 6.000000, 47.061680,yes
0.028404, 0.135090, 0.085476, 0.141466, 0.343286, 6.000000, 40.809848,yes
0.049820, 0.230345, 0.027522, 0.106329, 0.281650, 6.000000, 44.047266,yes
0.021457, 0.188836, 0.052958, 0.070240, 0.238843, 6.000000, 49.730812,yes
0.070371, 0.142855, 0.063298, 0.166834, 0.180140, 6.000000, 44.263885,yes
0.050306, 0.171193, 0.057328, 0.161121, 0.271265, 6.000000, 42.444884,yes
0.063609, 0.073610, 0.023916, 0.118606, 0.224945, 85.000000, 53.530254,yes
0.028830, 0.110560, 0.045634, 0.135590, 0.360580, 6.000000, 48.949710,yes
0.039282, 0.202160, 0.097536, 0.139597, 0.227542, 6.000000, 42.476697,yes
0.021769, 0.179452, 0.064962, 0.138857, 0.257219, 6.000000, 45.532804,yes
0.064626, 0.105057, 0.055620, 0.178928, 0.279496, 6.000000, 48.808163,yes
0.048104, 0.140624, 0.080175, 0.118404, 0.243734, 6.000000, 45.354170,yes
0.034278, 0.096646, 0.076898, 0.133657, 0.234116, 46.000000, 47.936993,yes
0.031462, 0.199908, 0.074845, 0.131762, 0.289980, 6.000000, 43.213663,yes
0.045691, 0.168084, 0.058701, 0.136975, 0.309956, 6.000000, 43.453650,yes
0.048857, 0.119017, 0.069288, 0.153646, 0.274851, 6.000000, 47.135684,yes
0.035763, 0.189379, 0.068359, 0.217009, 0.177313, 6.000000, 40.766706,yes
0.039583, 0.096800, 0.055499, 0.186726, 0.264066, 6.000000, 46.245207,yes
0.038242, 0.154713, 0.050962, 0.150713, 0.266436, 6.000000, 45.301438,yes
0.103927, 0.179333, 0.046169, 0.090729, 0.320181, 6.000000, 41.561177,yes
0.046875, 0.243494, 0.045675, 0.102627, 0.268682, 6.000000, 42.133928,yes
0.039401, 0.170445, 0.069129, 0.160995, 0.257139, 6.000000, 43.217515,yes
0.018764, 0.103133, 0.035287, 0.128445, 0.314147, 6.000000, 48.465476,yes
0.032840, 0.099416, 0.058318, 0.137468, 0.246024, 6.000000, 47.746129,yes
0.026857, 0.206346, 0.068814, 0.181669, 0.223776, 6.000000, 40.118532,yes
0.053389, 0.119177, 0.047384, 0.168210, 0.210484, 100.000000, 51.295783,yes
0.025368, 0.164664, 0.028507, 0.154399, 0.307190, 6.000000, 44.976297,yes
0.042226, 0.194917, 0.079081, 0.140878, 0.210464, 6.000000, 41.985849,yes
0.027724, 0.166523, 0.088856, 0.149148, 0.264199, 6.000000, 43.353255,yes
0.042454, 0.182526, 0.043265, 0.207531, 0.242652, 6.000000, 42.371493,yes
0.034079, 0.090295, 0.034359, 0.158947, 0.344432, 6.000000, 47.620287,yes
0.041499, 0.126458, 0.088386, 0.103884, 0.266830, 6.000000, 46.604269,yes
0.040069, 0.103090, 0.018189, 0.148468, 0.331448, 6.000000, 51.015746,yes
0.009612, 0.223718, 0.038575, 0.182376, 0.267064, 6.000000, 41.105411,yes
0.023029, 0.188887, 0.052306, 0.167103, 0.307435, 6.000000, 42.022316,yes
0.014066, 0.209440, 0.041746, 0.137689, 0.230072, 6.000000, 44.067892,yes
0.052945, 0.118099, 0.053963, 0.128757, 0.312118, 6.000000, 48.404251,yes
0.059519, 0.129947, 0.059237, 0.151948, 0.247578, 6.000000, 44.653985,yes
0.034188, 0.203313, 0.066042, 0.139056, 0.269973, 6.000000, 42.277667,yes
0.017200, 0.156748, 0.073748, 0.206846, 0.274735, 6.000000, 42.584932,yes
0.058198, 0.132920, 0.101914, 0.150117, 0.196892, 6.000000, 44.368352,yes
0.013174, 0.186290, 0.047834, 0.205252, 0.230581, 6.000000, 43.182047,yes
0.016778, 0.137313, 0.062840, 0.161823, 0.301932, 6.000000, 46.386675,yes
0.037802, 0.133709, 0.037299, 0.162345, 0.272483, 6.000000, 45.738939,yes
0.024858, 0.174218, 0.034490, 0.134744, 0.320063, 6.000000, 46.088421,yes
0.023412, 0.129387, 0.079368, 0.185774, 0.265820, 6.000000, 46.163437,yes
0.025973, 0.174190, 0.092048, 0.174803, 0.229359, 6.000000, 44.411384,yes
0.019932, 0.129788, 0.023929, 0.129012, 0.291395, 6.000000, 49.788696,yes
0.026669, 0.123649, 0.026915, 0.195796, 0.284390, 6.000000, 45.885928,yes
0.024755, 0.144896, 0.048192, 0.168702, 0.194358, 6.000000, 44.699746,yes
0.040398, 0.180430, 0.081415, 0.195401, 0.223008, 6.000000, 44.123633,yes
0.054412, 0.201717, 0.078335, 0.123300, 0.196765, 6.000000, 45.956932,yes
0.037133, 0.173178, 0.097523, 0.133366, 0.301069, 6.000000, 40.461524,yes
0.074514, 0.215341, 0.050431, 0.179651, 0.314789, 6.000000, 36.143896,yes
0.047486, 0.128963, 0.068002, 0.141388, 0.294915, 6.000000, 46.336416,yes
0.037420, 0.140829, 0.083899, 0.145438, 0.231477, 6.000000, 45.699897,yes
0.017897, 0.119867, 0.053148, 0.179863, 0.267220, 6.000000, 48.057716,yes
0.006814, 0.152148, 0.054787, 0.151715, 0.364637, 6.000000, 45.602249,yes
0.040179, 0.104538, 0.062612, 0.161245, 0.230505, 6.000000, 44.934533,yes
0.019838, 0.170170, 0.056353, 0.155545, 0.263754, 6.000000, 43.353286,yes
0.075834, 0.166379, 0.057233, 0.114060, 0.202399, 6.000000, 45.261755,yes
0.041187, 0.186753, 0.088189, 0.158088, 0.291181, 6.000000, 38.172629,yes
0.043298, 0.068834, 0.069487, 0.170022, 0.216123, 0.000000, 43.407118,yes
0.011695, 0.171230, 0.072411, 0.126086, 0.311132, 6.000000, 44.180001,yes
0.051534, 0.152887, 0.035797, 0.181979, 0.317694, 6.000000, 44.192544,yes
0.032156, 0.118450, 0.044920, 0.185764, 0.285564, 6.000000, 44.386896,yes
0.039806, 0.100687, 0.045947, 0.207928, 0.286376, 6.000000, 45.748842,yes
0.025645, 0.117117, 0.039766, 0.189094, 0.290618, 6.000000, 45.744332,yes
0.026631, 0.205168, 0.043504, 0.172292, 0.261918, 6.000000, 42.339725,yes
0.012573, 0.191841, 0.033834, 0.146212, 0.246597, 6.000000, 46.375501,yes
0.035556, 0.186436, 0.010771, 0.220213, 0.253249, 6.000000, 40.734688,yes
0.015895, 0.119657, 0.040166, 0.099825, 0.301999, 6.000000, 51.522647,yes
0.021417, 0.260327, 0.068825, 0.126430, 0.216415, 6.000000, 40.794450,yes
0.037500, 0.166349, 0.043085, 0.138782, 0.246001, 6.000000, 48.382091,yes
0.020385, 0.239593, 0.065533, 0.205045, 0.181509, 6.000000, 41.068490,yes
0.025073, 0.138630, 0.066097, 0.166012, 0.220029, 6.000000, 45.199800,yes
0.032786, 0.209782, 0.067354, 0.159395, 0.279505, 6.000000, 42.676920,yes
0.018356, 0.121970, 0.028227, 0.117816, 0.357822, 6.000000, 50.358119,yes
0.018697, 0.231057, 0.037020, 0.250699, 0.242625, 6.000000, 40.323505,yes
0.027548, 0.138204, 0.119768, 0.155220, 0.350286, 6.000000, 40.466077,yes
0.038960, 0.215839, 0.153093, 0.111874, 0.261764, 6.000000, 38.791109,yes
0.024101, 0.185965, 0.058327, 0.109422, 0.226892, 6.000000, 47.346279,yes
0.017300, 0.163146, 0.080077, 0.167358, 0.229697, 6.000000, 44.354666,yes
0.031067, 0.189170, 0.112388, 0.111434, 0.249241, 6.000000, 43.061288,yes
0.024003, 0.113036, 0.097305, 0.164549, 0.316819, 6.000000, 45.468399,yes
0.074495, 0.132361, 0.052209, 0.296551, 0.199060, 6.000000, 41.219166,yes
0.036190, 0.153918, 0.056272, 0.157299, 0.212542, 6.000000, 46.912881,yes
0.037996, 0.130330, 0.118062, 0.180450, 0.203720, 6.000000, 44.147043,yes
0.038031, 0.120449, 0.044569, 0.193436, 0.207948, 6.000000, 47.378779,yes
0.055354, 0.215375, 0.050119, 0.120441, 0.282191, 6.000000, 41.984100,yes
0.050439, 0.178352, 0.109418, 0.067398, 0.304423, 6.000000, 41.179173,yes
0.023650, 0.079599, 0.068542, 0.128412, 0.329577, 6.000000, 49.112289,yes
0.064435, 0.196266, 0.041675, 0.192646, 0.214450, 6.000000, 41.064021,yes
0.017697, 0.109748, 0.057914, 0.181057, 0.321130, 6.000000, 46.488505,yes
0.026893, 0.127610, 0.111860, 0.140708, 0.300848, 6.000000, 44.021306,yes
0.051973, 0.156845, 0.053301, 0.148381, 0.298812, 6.000000, 44.636989,yes
0.006972, 0.112582, 0.089160, 0.152752, 0.346153, 6.000000, 43.019419,yes
0.025652, 0.147947, 0.065121, 0.156826, 0.206270, 6.000000, 48.300424,yes
0.019114, 0.168514, 0.085120, 0.156338, 0.280073, 6.000000, 46.382743,yes
0.036403, 0.143999, 0.025746, 0.145841, 0.281880, 6.000000, 49.245733,yes
0.016887, 0.148944, 0.024235, 0.153602, 0.328600, 6.000000, 45.086671,yes
0.039313, 0.164692, 0.055456, 0.152062, 0.299092, 6.000000, 46.537905,yes
0.058854, 0.114995, 0.051344, 0.197840, 0.295730, 16.000000, 40.947513,yes
0.016708, 0.097839, 0.080605, 0.168207, 0.283603, 6.000000, 48.104881,yes
0.025520, 0.092958, 0.048764, 0.204240, 0.281071, 6.000000, 47.046091,yes
0.065698, 0.142989, 0.056225, 0.130254, 0.261970, 6.000000, 44.488813,yes
0.050119, 0.103414, 0.039656, 0.104507, 0.313653, 6.000000, 49.384720,yes
0.041477, 0.162714, 0.068826, 0.172366, 0.267049, 6.000000, 41.986519,yes
0.020535, 0.119488, 0.059810, 0.068905, 0.395577, 6.000000, 48.030446,yes
0.019033, 0.121549, 0.098250, 0.172893, 0.223116, 6.000000, 46.666971,yes
0.059887, 0.147341, 0.045345, 0.138056, 0.280026, 6.000000, 46.452376,yes
0.037486, 0.143749, 0.073700, 0.159774, 0.282443, 6.000000, 47.228661,yes
0.021919, 0.169140, 0.071393, 0.097049, 0.338975, 6.000000, 45.322955,yes
0.023132, 0.138350, 0.077141, 0.107514, 0.300578, 6.000000, 45.691840,yes
0.030582, 0.204331, 0.084818, 0.198529, 0.231507, 6.000000, 37.388400,yes
0.058599, 0.176513, 0.027248, 0.165636, 0.241511, 6.000000, 47.333516,yes
0.027570, 0.150096, 0.065103, 0.182755, 0.226084, 6.000000, 41.537574,yes
0.052641, 0.182348, 0.063422, 0.175360, 0.300065, 6.000000, 39.846024,yes
0.071493, 0.168007, 0.020929, 0.136153, 0.315674, 6.000000, 43.056102,yes
0.048588, 0.188573, 0.025778, 0.156405, 0.212736, 6.000000, 47.409688,yes
0.032068, 0.088705, 0.081700, 0.166838, 0.322644, 55.000000, 46.484726,yes
0.065461, 0.205914, 0.059284, 0.099615, 0.261915, 7.000000, 47.594930,yes
0.018994, 0.118709, 0.037345, 0.137039, 0.311086, 6.000000, 49.922857,yes
0.041621, 0.161894, 0.091216, 0.224898, 0.237948, 6.000000, 40.174854,yes
0.031859, 0.137791, 0.042592, 0.134758, 0.257848, 6.000000, 44.598158,yes
0.034906, 0.179803, 0.099774, 0.150941, 0.264339, 6.000000, 40.313597,yes
0.035126, 0.108365, 0.069198, 0.140811, 0.320777, 6.000000, 45.027292,yes
0.045717, 0.112908, 0.060032, 0.148557, 0.334391, 6.000000, 45.135742,yes
0.029162, 0.157737, 0.035768, 0.178532, 0.228445, 6.000000, 45.313648,yes
0.061912, 0.107797, 0.039495, 0.111532, 0.324445, 6.000000, 47.566752,yes
0.059218, 0.151577, 0.033826, 0.135024, 0.290223, 6.000000, 42.688537,yes
0.018788, 0.147573, 0.057227, 0.218506, 0.252207, 6.000000, 42.837270,yes
0.014795, 0.209397, 0.042966, 0.125300, 0.267734, 6.000000, 42.750812,yes
0.040672, 0.179038, 0.050227, 0.119161, 0.233894, 6.000000, 46.166638,yes
0.027308, 0.111404, 0.073759, 0.155862, 0.267358, 6.000000, 46.682693,yes
0.011480, 0.202684, 0.023541, 0.163445, 0.241591, 6.000000, 45.108432,yes
0.036322, 0.149337, 0.086077, 0.138969, 0.199460, 6.000000, 46.915150,yes
0.076086, 0.081653, 0.065185, 0.141964, 0.260517, 82.000000, 48.835023,yes
0.034546, 0.149195, 0.031086, 0.163417, 0.178075, 6.000000, 42.983397,yes
0.019642, 0.201658, 0.040534, 0.168229, 0.217345, 6.000000, 45.085123,yes
0.033003, 0.100243, 0.047110, 0.133820, 0.331111, 6.000000, 48.617569,yes
0.015580, 0.215674, 0.075268, 0.143627, 0.215997, 6.000000, 44.212226,yes
0.045179, 0.274236, 0.036522, 0.127306, 0.274748, 6.000000, 39.652641,yes
0.008872, 0.102372, 0.081170, 0.217567, 0.277847, 6.000000, 44.853229,yes
0.021725, 0.114428, 0.062010, 0.220508, 0.253437, 6.000000, 45.591967,yes
0.035028, 0.133868, 0.076858, 0.210700, 0.380987, 6.000000, 40.827714,yes
0.040543, 0.160850, 0.077410, 0.196080, 0.290596, 6.000000, 40.272717,yes
0.016131, 0.149863, 0.022755, 0.155391, 0.290033, 6.000000, 45.252369,yes
0.028012, 0.179335, 0.030134, 0.135637, 0.286851, 6.000000, 45.557079,yes
0.012492, 0.104633, 0.055520, 0.141546, 0.355912, 6.000000, 48.020104,yes
0.041630, 0.164174, 0.062612, 0.159712, 0.264667, 6.000000, 44.498730,yes
0.024066, 0.155070, 0.050894, 0.138034, 0.298852, 6.000000, 45.509032,yes
0.064626, 0.087969, 0.028612, 0.197146, 0.309498, 6.000000, 44.270315,yes
0.034282, 0.089242, 0.067553, 0.124257, 0.254105, 100.000000, 53.653488,yes
0.018155, 0.210722, 0.017137, 0.144663, 0.297565, 6.000000, 40.808996,yes
0.041458, 0.106343, 0.056657, 0.192924, 0.271909, 6.000000, 47.433656,yes
0.034653, 0.134573, 0.058727, 0.249963, 0.297623, 6.000000, 40.566727,yes
0.008651, 0.120757, 0.035663, 0.128955, 0.258779, 6.000000, 53.641267,yes
0.026105, 0.086555, 0.035274, 0.151913, 0.329492, 6.000000, 49.786965,yes
0.034324, 0.180810, 0.029301, 0.218872, 0.179797, 6.000000, 43.968487,yes
0.075487, 0.150231, 0.047151, 0.125178, 0.271259, 6.000000, 45.407440,yes
0.024694, 0.107187, 0.039757, 0.146422, 0.315270, 6.000000, 47.305171,yes
0.066801, 0.151546, 0.073765, 0.170251, 0.250146, 6.000000, 40.940589,yes
0.043226, 0.227500, 0.044161, 0.121829, 0.269133, 6.000000, 42.995833,yes
0.016747, 0.079702, 0.049981, 0.194365, 0.359175, 6.000000, 46.913262,yes
0.037408, 0.197223, 0.033348, 0.165057, 0.272662, 6.000000, 42.745216,yes
0.061594, 0.157427, 0.060007, 0.160920, 0.207052, 6.000000, 46.509006,yes
0.040681, 0.168157, 0.078359, 0.175936, 0.287064, 6.000000, 43.729502,yes
0.015314, 0.164811, 0.045161, 0.150758, 0.214011, 6.000000, 48.904335,yes
0.021601, 0.216003, 0.044295, 0.181068, 0.289179, 6.000000, 40.880085,yes
0.029308, 0.127576, 0.074769, 0.129147, 0.226391, 6.000000, 50.808473,yes
0.049424, 0.178929, 0.071755, 0.134688, 0.374458, 6.000000, 41.223648,yes
0.035527, 0.200211, 0.065751, 0.149476, 0.224361, 6.000000, 41.888476,yes
0.029598, 0.157229, 0.123589, 0.168886, 0.317275, 6.000000, 42.582580,yes
0.097031, 0.144947, 0.035548, 0.166768, 0.315302, 6.000000, 41.943657,yes
0.018522, 0.184929, 0.044980, 0.176768, 0.301124, 6.000000, 44.308301,yes
0.031761, 0.098888, 0.055674, 0.142983, 0.287008, 6.000000, 52.099264,yes
0.042954, 0.182434, 0.048496, 0.159979, 0.328542, 6.000000, 40.748393,yes
0.017447, 0.215631, 0.077236, 0.148369, 0.274970, 6.000000, 41.171415,yes
0.025223, 0.153706, 0.059497, 0.171991, 0.262372, 6.000000, 45.668312,yes
0.016870, 0.118281, 0.056349, 0.164420, 0.275970, 6.000000, 45.538476,yes
0.080574, 0.109215, 0.020513, 0.151247, 0.281985, 6.000000, 48.017073,yes
0.015020, 0.091118, 0.065019, 0.164116, 0.344871, 6.000000, 48.428710,yes
0.023099, 0.211142, 0.108066, 0.227968, 0.220519, 6.000000, 37.842430,yes
0.140356, 0.204383, 0.046226, 0.133782, 0.230813, 6.000000, 41.476961,yes
0.059498, 0.183026, 0.069997, 0.126048, 0.213682, 6.000000, 42.163645,yes
0.024413, 0.201226, 0.050859, 0.086216, 0.328900, 6.000000, 42.504321,yes
0.051911, 0.188720, 0.027050, 0.193775, 0.202585, 6.000000, 41.721177,yes
0.036962, 0.157280, 0.079956, 0.170169, 0.263226, 6.000000, 43.543779,yes
0.044563, 0.233979, 0.099186, 0.168769, 0.225981, 6.000000, 40.873230,yes
0.048646, 0.168356, 0.107297, 0.149436, 0.237926, 6.000000, 40.204147,yes
0.052673, 0.155272, 0.047500, 0.147587, 0.273935, 6.000000, 48.444875,yes
0.040335, 0.107514, 0.082502, 0.145613, 0.326688, 6.000000, 45.761909,yes
0.039531, 0.066574, 0.133243, 0.169023, 0.310554, 10.000000, 44.908296,no
0.018776, 0.031584, 0.174816, 0.186757, 0.267761, 10.000000, 46.780969,no
0.025681, 0.018368, 0.090808, 0.238085, 0.239612, 10.000000, 47.687787,no
0.041646, 0.031004, 0.175692, 0.146054, 0.237459, 10.000000, 46.050077,no
0.019315, 0.011347, 0.164977, 0.146845, 0.293126, 10.000000, 47.968966,no
0.052252, 0.021529, 0.202943, 0.159373, 0.258689, 10.000000, 44.518203,no
0.040649, 0.043662, 0.293609, 0.144001, 0.246023, 10.000000, 39.843201,no
0.046568, 0.045655, 0.194287, 0.143565, 0.221753, 10.000000, 47.292142,no
0.042767, 0.047986, 0.161894, 0.100105, 0.240478, 10.000000, 47.785369,no
0.017823, 0.024931, 0.071928, 0.166307, 0.308745, 10.000000, 54.250335,no
0.068735, 0.013863, 0.259663, 0.148152, 0.212388, 10.000000, 41.371575,no
0.050335, 0.065390, 0.101870, 0.241899, 0.256611, 32.000000, 45.422738,no
0.063355, 0.035539, 0.149356, 0.190994, 0.229185, 10.000000, 44.017874,no
0.057590, 0.074999, 0.099426, 0.125310, 0.319545, 10.000000, 46.521188,no
0.012219, 0.055780, 0.198849, 0.183353, 0.321865, 10.000000, 41.034569,no
0.020254, 0.016992, 0.150439, 0.166387, 0.284807, 10.000000, 48.111006,no
0.017646, 0.039695, 0.154209, 0.163293, 0.268313, 10.000000, 49.645994,no
